equipamento,data_manutencao,tipo,descricao
EQ-101,2026-01-22,Corretiva,Manutenção programada (demo)
EQ-102,2026-03-09,Preventiva,Manutenção programada (demo)
EQ-103,2026-02-12,Preventiva,Manutenção programada (demo)
EQ-104,2026-01-12,Preventiva,Manutenção programada (demo)
EQ-105,2026-03-10,Preventiva,Manutenção programada (demo)
EQ-106,2026-01-21,Corretiva,Manutenção programada (demo)
EQ-107,2024-11-08,Preventiva,Manutenção programada (demo)
EQ-108,2025-11-08,Corretiva,Manutenção programada (demo)
EQ-109,2025-12-01,Corretiva,Manutenção programada (demo)
EQ-110,2025-12-11,Preventiva,Manutenção programada (demo)
EQ-111,2025-03-12,Preventiva,Manutenção programada (demo)
EQ-112,2025-12-04,Preventiva,Manutenção programada (demo)
EQ-113,2025-05-10,Preventiva,Manutenção programada (demo)
EQ-114,2026-01-09,Corretiva,Manutenção programada (demo)
EQ-115,2025-02-17,Preventiva,Manutenção programada (demo)
EQ-116,2025-12-19,Corretiva,Manutenção programada (demo)
EQ-117,2025-04-24,Corretiva,Manutenção programada (demo)
EQ-118,2025-12-21,Preventiva,Manutenção programada (demo)
EQ-119,2025-02-18,Preventiva,Manutenção programada (demo)
EQ-120,2025-09-29,Preventiva,Manutenção programada (demo)
EQ-121,2025-05-19,Corretiva,Manutenção programada (demo)
EQ-122,2025-03-18,Preventiva,Manutenção programada (demo)
EQ-123,2026-03-06,Corretiva,Manutenção programada (demo)
EQ-124,2025-04-24,Corretiva,Manutenção programada (demo)
EQ-125,2025-10-09,Corretiva,Manutenção programada (demo)
EQ-126,2026-02-19,Preventiva,Manutenção programada (demo)
EQ-127,2024-12-25,Corretiva,Manutenção programada (demo)
